,subject,replies,views,comment,date,user,activity,merit
326,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: alek76 on April 01, 2020, 10:26:38 PMQuote from: brainless on April 01, 2020, 10:08:47 PMit can run 2 commands in 2 windows, for 1 card, just try, if you get error on any command let me knowThe P100 video card is used remotely, I do not have a normal video card.And how can iron be used if it is occupied by another process  The driver error itself will be.in short i am guessing, your gpu engine commands inside program is default, and not useing full gpu power, as i said bitcrack used switches B T P , where you set compute thread, process, by this speed will increase more then 10x, study about bitcrack codes, hope u get success to increase more real speed","April 01, 2020, 10:39:37 PM",brainless,307,34
327,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: alek76 on April 01, 2020, 11:02:07 PMQuote from: brainless on April 01, 2020, 10:39:37 PMQuote from: alek76 on April 01, 2020, 10:26:38 PMQuote from: brainless on April 01, 2020, 10:08:47 PMit can run 2 commands in 2 windows, for 1 card, just try, if you get error on any command let me knowThe P100 video card is used remotely, I do not have a normal video card.And how can iron be used if it is occupied by another process  The driver error itself will be.in short i am guessing, your gpu engine commands inside program is default, and not useing full gpu power, as i said bitcrack used switches B T P , where you set compute thread, process, by this speed will increase more then 10x, study about bitcrack codes, hope u get success to increase more real speedAgain 25. Each jump requires 1 inversion by modulus, since the distance is not known in advance where to jump and it is calculated by dividing it with the remainder of the PointX coordinate on DPmodulo - this is repeated after each jump in each stream. And now, count how many inversions you need to do and please read about this mathematical function. It takes a lot of processor time, since it is necessary to do many mathematical operations with 256 bit numbers for 1 inversion modulo. You do not compare the Polard algorithm with VanitySearch (and bitcrack), in which 1 inversion is done for 1024 keys using the Montgomery’s trick, since the step is known in advance - it is a delta from 0 to -512 and from 0 to +512. Check out the GPU code.  Accordingly, the speed can be tens of times different!you are talking about code, its P kangroo, you are right at your own way, i am talking code running at hardware structure space, as first kangroo was by pinkachunka at bitcrack, his stats was 100 bit in 3 days, and your 90 bit are shown for 8 days, he uses full power of GPU, mean full space by useing bitcrack switches, he uses 15.9gb during workout, and your ram used is 5.5gb , maybe you need expand table size or design by hardware structure switches, where maximum result for less time","April 01, 2020, 11:29:31 PM",brainless,307,34
328,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: alek76 on April 02, 2020, 12:04:41 AMQuote from: brainless on April 01, 2020, 11:29:31 PMyou are talking about code, its P kangroo, you are right at your own way, i am talking code running at hardware structure space, as first kangroo was by pinkachunka at bitcrack, his stats was 100 bit in 3 days, and your 90 bit are shown for 8 days, he uses full power of GPU, mean full space by useing bitcrack switches, he uses 15.9gb during workout, and your ram used is 5.5gb , maybe you need expand table size or design by hardware structure switches, where maximum result for less timeHonestly, I have not studied the bitcrack code. I do not like AMD. Perhaps he uses group inversion for several threads with a previously specified distance between them or uses tables. There is a clear advantage of speed, I agree. In this code, for each thread, the start key is random, the counter counts the total speed. In general, according to Polard - the number of parallel threads does not particularly affect the speed of the solution - this is a sequential algorithm. So maybe I'm wrong)As first kangroo was by pinkachunka at bitcrack  These were preliminary calculations, bitcrack has nothing to do with kangaroo.https://bitcointalk.org/index.php?topic=1306983.msg51848002#msg51848002first public P-kangro were in python, useing 15k jumps/s, then upon advice by community, its updated with gmpy2 featured, and speed goes to 180k jumps/s, then more advices about thread and core, its able to uses all cores and threads, and in 2 cores processors, speed reach at 600k( 4core processors, speed 1.2m jumps/s, lets see when u will update github for P-kangroo gpu, community experts will start giving you updates , advances, and iissues to be need resolve, after analyze in working code, every one  knows GPU kangroo already running by some dev from last 6 months, and maybe they are close to 110 puzzle, and rest community have no chance to go close, they will just use it for testing/analyzing/ for create next level idea's","April 02, 2020, 03:03:01 PM",brainless,307,34
329,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: brainless on April 02, 2020, 03:03:01 PMQuote from: alek76 on April 02, 2020, 12:04:41 AMQuote from: brainless on April 01, 2020, 11:29:31 PMyou are talking about code, its P kangroo, you are right at your own way, i am talking code running at hardware structure space, as first kangroo was by pinkachunka at bitcrack, his stats was 100 bit in 3 days, and your 90 bit are shown for 8 days, he uses full power of GPU, mean full space by useing bitcrack switches, he uses 15.9gb during workout, and your ram used is 5.5gb , maybe you need expand table size or design by hardware structure switches, where maximum result for less timeHonestly, I have not studied the bitcrack code. I do not like AMD. Perhaps he uses group inversion for several threads with a previously specified distance between them or uses tables. There is a clear advantage of speed, I agree. In this code, for each thread, the start key is random, the counter counts the total speed. In general, according to Polard - the number of parallel threads does not particularly affect the speed of the solution - this is a sequential algorithm. So maybe I'm wrong)As first kangroo was by pinkachunka at bitcrack  These were preliminary calculations, bitcrack has nothing to do with kangaroo.https://bitcointalk.org/index.php?topic=1306983.msg51848002#msg51848002first public P-kangro were in python, useing 15k jumps/s, then upon advice by community, its updated with gmpy2 featured, and speed goes to 180k jumps/s, then more advices about thread and core, its able to uses all cores and threads, and in 2 cores processors, speed reach at 600k( 4core processors, speed 1.2m jumps/s, lets see when u will update github for P-kangroo gpu, community experts will start giving you updates , advances, and iissues to be need resolve, after analyze in working code, every one  knows GPU kangroo already running by some dev from last 6 months, and maybe they are close to 110 puzzle, and rest community have no chance to go close, they will just use it for testing/analyzing/ for create next level idea's2days before i see alek76 message in post, he said soon at github, today i see, his post deleted, maybe he chnage his mind, and his new mind maybe work better then old mind ","April 04, 2020, 05:19:49 PM",brainless,307,34
330,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: alek76 on April 04, 2020, 06:20:06 PMQuote from: brainless on April 04, 2020, 05:19:49 PM2days before i see alek76 message in post, he said soon at github, today i see, his post deleted, maybe he chnage his mind, and his new mind maybe work better then old mind Right. First you need to fix possible inaccuracies, then there is no time to do this on Github.The comparator on python works faster than on c ++, when the file sizes are more than 50MB - have to choose a comparator. In general, the correct way is to do the aggregation of selected points in the sql database on the server. The program should send them as a client. I have no time and knowledge for this   I will soon post it as it is.Already available https://github.com/alek76-2/vs-kangaroo-hybridThanks, brother!Can you help, I get this error when triying to run after successfull complilation.","April 05, 2020, 08:29:45 AM",Firebox,59,3
331,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Дoбpoгo вpeмeни cyтoк yвaжaeмыe фopyмчaнe! Peшили пoдeлитьcя нaблюдeниями.Ha пpoшлoй нeдeлe пpoчитaл тeмy ""https://bitcointalk.org/index.php?topic=5218972.0"".Oтдeльнo cтoит oтмeтить, чтo для peшeния кaждoгo из 160 Puzzle ecть caйт, кoтopыйпpeдлaгaeт нaйти пpивaтныe ключи и peшить Puzzle, нo тoлькo c пoмoщью вaшeгo CPU.Дaжe caмoe ""пpocтoe"" зaдaниe Puzzle#64 нa дeлe нacтoлькo cлoжнoe, чтo дaжe ecливы бyдeтe имeть в pacпopяжeнии coтни видeoкapт, нa peшeниe пoтpeбyютcя мecяцы!Taк вoт, пpoчитaв тeмy ""Bitcoin challenge"" зaгpyзив и нacтpoив пpoгpaммy -вepcия 0.31(https://github.com/brichard19/BitCrack), выяcнилocь, чтo в пpoгpaммe нe paбoтaeт пapaoпций, a имeннo: ""--continue"" и ""-r"" пepвaя нyжнa для пpoдoлжeния пoиcкa пpивaтнoгoключa c мecтa, гдe пpoгpaммa былa зaвepшeнa aвapийнo (нaпpимep ecли выключилиcвeт), a втopyю oпцию (""-r"" random - cлyчaйный пoиcк) и вoвce пoчeмy-тo ""выpeзaли""!?Ho этo вcё былo бы пoл бeды, ecли бы нe тaкиe фaкты, кoтopыe выяcнилиcь вo вpeмяэкcпepимeнтoв c интepнeтoм. Taк вoт, ecли зaпycкaть пpoгpaммy ""bitcrack"" и oтключитьИнтepнeт, тo пoтpeблeниe элeктpoэнepгии пaдaeт poвнo нa 20%, a cкopocть пepeбopaпaдaeт в 2 paзa. Cтpaннo, пpaвдa? Beдь для пepeбopa диaпaзoнa Интepнeт нe нyжeн!Пpи пocлeдyющeм зaпycкe мaйнepa (""Claymore"") кaждaя фepмa, нa кoтopoй paбoтaлaпpoгpaммa ""bitcrack"" пepecтaёт мaйнить нa oднoй из видeoкapт (пoкaзывaeт 0-1 MH/s).Toлькo пocлe пepeзaгpyзки (""reset"") фepм, paбoтa вcex кapт (AMD) вoccтaнaвливaeтcя.","April 05, 2020, 08:31:45 AMLast edit: April 07, 2020, 08:07:52 AM by walletrecovery",walletrecovery,414,29
332,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: alek76 on April 04, 2020, 06:20:06 PMQuote from: brainless on April 04, 2020, 05:19:49 PM2days before i see alek76 message in post, he said soon at github, today i see, his post deleted, maybe he chnage his mind, and his new mind maybe work better then old mind Right. First you need to fix possible inaccuracies, then there is no time to do this on Github.The comparator on python works faster than on c ++, when the file sizes are more than 50MB - have to choose a comparator. In general, the correct way is to do the aggregation of selected points in the sql database on the server. The program should send them as a client. I have no time and knowledge for this   I will soon post it as it is.Already available https://github.com/alek76-2/vs-kangaroo-hybridi just see issue at your github, same stuck at error with gtx 750, maybe problem of hashtable size, check it","April 05, 2020, 08:45:00 AM",brainless,307,34
333,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: Firebox on April 05, 2020, 08:29:45 AMQuote from: alek76 on April 04, 2020, 06:20:06 PMQuote from: brainless on April 04, 2020, 05:19:49 PM2days before i see alek76 message in post, he said soon at github, today i see, his post deleted, maybe he chnage his mind, and his new mind maybe work better then old mind Right. First you need to fix possible inaccuracies, then there is no time to do this on Github.The comparator on python works faster than on c ++, when the file sizes are more than 50MB - have to choose a comparator. In general, the correct way is to do the aggregation of selected points in the sql database on the server. The program should send them as a client. I have no time and knowledge for this   I will soon post it as it is.Already available https://github.com/alek76-2/vs-kangaroo-hybridThanks, brother!Can you help, I get this error when triying to run after successfull complilation.Your GPU code not compiled , mention in your snaphave u compiled by this command make gpu=1 ccap=20 allwhere ccap setting as per your card ...","April 05, 2020, 08:54:31 AM",brainless,307,34
334,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: alek76 on April 05, 2020, 09:30:24 AMQuote from: brainless on April 05, 2020, 08:45:00 AMi just see issue at your github, same stuck at error with gtx 750, maybe problem of hashtable size, check itHashtable for the CPU. What does ptxas info say?whats your makefile setting for cuda 8 ","April 05, 2020, 09:36:22 AM",brainless,307,34
335,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: brainless on April 05, 2020, 09:36:22 AMQuote from: alek76 on April 05, 2020, 09:30:24 AMQuote from: brainless on April 05, 2020, 08:45:00 AMi just see issue at your github, same stuck at error with gtx 750, maybe problem of hashtable size, check itHashtable for the CPU. What does ptxas info say?whats your makefile setting for cuda 8 same issues as mention here with cuda 8https://github.com/alek76-2/vs-kangaroo-hybrid/issues","April 05, 2020, 09:37:24 AM",brainless,307,34
336,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: brainless on April 05, 2020, 08:54:31 AMQuote from: Firebox on April 05, 2020, 08:29:45 AMQuote from: alek76 on April 04, 2020, 06:20:06 PMQuote from: brainless on April 04, 2020, 05:19:49 PM2days before i see alek76 message in post, he said soon at github, today i see, his post deleted, maybe he chnage his mind, and his new mind maybe work better then old mind Right. First you need to fix possible inaccuracies, then there is no time to do this on Github.The comparator on python works faster than on c ++, when the file sizes are more than 50MB - have to choose a comparator. In general, the correct way is to do the aggregation of selected points in the sql database on the server. The program should send them as a client. I have no time and knowledge for this   I will soon post it as it is.Already available https://github.com/alek76-2/vs-kangaroo-hybridThanks, brother!Can you help, I get this error when triying to run after successfull complilation.Your GPU code not compiled , mention in your snaphave u compiled by this command make gpu=1 ccap=20 allwhere ccap setting as per your card ...Unfortunatelly I'm not really expert in this. I'm using 'Visual Studio 2019'. I have finally succeded to comply vs-kangaroo-hybrid.exe by choosing 'Release' in configuration (before was 'Debug' by default), but without any aadditional settings. Just as it was.Where do I put this settings ""make gpu=1 ccap=20 all""?------Another question here. Runnigng test and found that script goes over 100% i.e. for #50:","April 05, 2020, 11:23:27 AM",Firebox,59,3
337,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: alek76 on April 05, 2020, 11:39:35 AMQuote from: Firebox on April 05, 2020, 11:23:27 AMUnfortunatelly I'm not really expert in this. I'm using 'Visual Studio 2019'. I have finally succeded to comply vs-kangaroo-hybrid.exe by choosing 'Release' in configuration (before was 'Debug' by default), but without any aadditional settings. Just as it was.Where do I put this settings ""make gpu=1 ccap=20 all""?Another question here. Runnigng test and found that script goes over 100% i.e. for #50: Compute capability 2.0 and 3.0 Not supported.This is normal, the program does not make accurate calculations. Set -p 0 or for bits 50 use cpu version.Feedbackif run for bit 65 Comparator time: 0.206 msec wild.txt 0 bytes tame.txt 0 bytes[/][  0: 0: 6 ;   4.4M j/s; [GPU 4.43 Mj/s]  26.0Mj   0.2%; dp/kgr=0.0;  0:32:11 ]upword any bit like bit 75 screen is  Comparator time: 0.195 msec wild.txt 0 bytes tame.txt 0 bytes[\][  0: 0: 2 ;   0.0  j/s; [GPU 0.00 Mj/s]   0.0 j   0.0%; dp/kgr=0.0;   8.0Ky  4m 17d  6: 9: 4 ]","April 05, 2020, 01:05:49 PM",brainless,307,34
338,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: alek76 on April 05, 2020, 11:39:35 AMQuote from: Firebox on April 05, 2020, 11:23:27 AMUnfortunatelly I'm not really expert in this. I'm using 'Visual Studio 2019'. I have finally succeded to comply vs-kangaroo-hybrid.exe by choosing 'Release' in configuration (before was 'Debug' by default), but without any aadditional settings. Just as it was.Where do I put this settings ""make gpu=1 ccap=20 all""?Another question here. Runnigng test and found that script goes over 100% i.e. for #50: Compute capability 2.0 and 3.0 Not supported.This is normal, the program does not make accurate calculations. Set -p 0 or for bits 50 use cpu version.Ok. Agree, that could be, but we are triying to test gpu usage, not a cpu )). And to test it quickly I choose lower number addresses in order to see if I will get a propper result in the end. So far looks like somethis I did wrong:Result received in ~ 6.5 minutesResult received in ~ 4.5 minutesWhat am I doing wrong? This are the time to spent by CPU.Could you share you results for #50?","April 05, 2020, 01:10:26 PM",Firebox,59,3
339,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: brainless on April 05, 2020, 01:05:49 PMQuote from: alek76 on April 05, 2020, 11:39:35 AMQuote from: Firebox on April 05, 2020, 11:23:27 AMUnfortunatelly I'm not really expert in this. I'm using 'Visual Studio 2019'. I have finally succeded to comply vs-kangaroo-hybrid.exe by choosing 'Release' in configuration (before was 'Debug' by default), but without any aadditional settings. Just as it was.Where do I put this settings ""make gpu=1 ccap=20 all""?Another question here. Runnigng test and found that script goes over 100% i.e. for #50: Compute capability 2.0 and 3.0 Not supported.This is normal, the program does not make accurate calculations. Set -p 0 or for bits 50 use cpu version.Feedbackif run for bit 65 Comparator time: 0.206 msec wild.txt 0 bytes tame.txt 0 bytes[/][  0: 0: 6 ;   4.4M j/s; [GPU 4.43 Mj/s]  26.0Mj   0.2%; dp/kgr=0.0;  0:32:11 ]upword any bit like bit 75 screen is  Comparator time: 0.195 msec wild.txt 0 bytes tame.txt 0 bytes[\][  0: 0: 2 ;   0.0  j/s; [GPU 0.00 Mj/s]   0.0 j   0.0%; dp/kgr=0.0;   8.0Ky  4m 17d  6: 9: 4 ]for bit 69 these screen running Comparator time: 0.217 msec wild.txt 0 bytes tame.txt 0 bytes[|][  0: 0: 4 ;   4.4M j/s; [GPU 4.36 Mj/s]  17.0Mj   0.0%; dp/kgr=0.0;  1: 5:39 ][error] Check Output Data GPU and Compute keys, thId: 00005028 Check  key: 94AC90F4A122647D5    Point x: 2B6E5F02AE99AA03569FE46C5A0EAED92D350A5A3D0E091085E9E8BDA6ABE66D DP Point x: 8BBFEFA75BE67C6795D772D977373999C9A364A8994893793AA417BEE000000[/][  0: 0: 6 ;   4.4M j/s; [GPU 4.43 Mj/s]  26.0Mj   0.1%; dp/kgr=0.0;  1: 4:29 ][error] Check Output Data GPU and Compute keys, thId: 00000507 Check  key: 7EF29F937A9658E03    Point x: B75CF00099B38C6BC3466A69ADFEADDD093EDE62E763DF5555A4F2A221F04F3C DP Point x: 27F28829B7176A93E6D7AB93A6DA89C5CAD41B5D35425FF6F34C464253000000[error] Check Output Data GPU and Compute keys, thId: 00005423 Check  key: 90C0FA63868810BAB    Point x: E8C5AFF0F27DC6E81D285E058ED35A7F00DB29CCDD51E6B2AA66EB9C9C2665E6 DP Point x: 668F60B040F727C225D697BCA37C2D8A1133422F8EA0F7B3C30D2D77C8000000[\][  0: 0:10 ;   4.4M j/s; [GPU 4.40 Mj/s]  44.0Mj   0.2%; dp/kgr=0.0;  1: 4:51 ][error] Check Output Data GPU and Compute keys, thId: 00000587 Check  key: 8EE434059E01B3660    Point x: 45356089D2471D7F4AEA9D5CE0C410628B9A03845B2C075BF22081298095F846 DP Point x: BBCF411A3D896480FE6006C65C6F48D90F7F1DFDA8ED122B9CFEE5BF9F000000","April 05, 2020, 01:17:02 PM",brainless,307,34
340,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: alek76 on April 05, 2020, 01:30:45 PMQuote from: brainless on April 05, 2020, 01:05:49 PMQuote from: alek76 on April 05, 2020, 11:39:35 AMQuote from: Firebox on April 05, 2020, 11:23:27 AMUnfortunatelly I'm not really expert in this. I'm using 'Visual Studio 2019'. I have finally succeded to comply vs-kangaroo-hybrid.exe by choosing 'Release' in configuration (before was 'Debug' by default), but without any aadditional settings. Just as it was.Where do I put this settings ""make gpu=1 ccap=20 all""?Another question here. Runnigng test and found that script goes over 100% i.e. for #50: Compute capability 2.0 and 3.0 Not supported.This is normal, the program does not make accurate calculations. Set -p 0 or for bits 50 use cpu version.Feedbackif run for bit 65 Comparator time: 0.206 msec wild.txt 0 bytes tame.txt 0 bytes[/][  0: 0: 6 ;   4.4M j/s; [GPU 4.43 Mj/s]  26.0Mj   0.2%; dp/kgr=0.0;  0:32:11 ]upword any bit like bit 75 screen is  Comparator time: 0.195 msec wild.txt 0 bytes tame.txt 0 bytes[\][  0: 0: 2 ;   0.0  j/s; [GPU 0.00 Mj/s]   0.0 j   0.0%; dp/kgr=0.0;   8.0Ky  4m 17d  6: 9: 4 ]Which video card do you use? What options does the program run with?gtx 460 and gtx 750","April 05, 2020, 01:41:14 PM",brainless,307,34
341,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: alek76 on April 05, 2020, 01:52:32 PMQuote from: Firebox on April 05, 2020, 01:10:26 PMQuote from: alek76 on April 05, 2020, 11:39:35 AMQuote from: Firebox on April 05, 2020, 11:23:27 AMUnfortunatelly I'm not really expert in this. I'm using 'Visual Studio 2019'. I have finally succeded to comply vs-kangaroo-hybrid.exe by choosing 'Release' in configuration (before was 'Debug' by default), but without any aadditional settings. Just as it was.Where do I put this settings ""make gpu=1 ccap=20 all""?Another question here. Runnigng test and found that script goes over 100% i.e. for #50: Compute capability 2.0 and 3.0 Not supported.This is normal, the program does not make accurate calculations. Set -p 0 or for bits 50 use cpu version.Ok. Agree, that could be, but we are triying to test gpu usage, not a cpu )). And to test it quickly I choose lower number addresses in order to see if I will get a propper result in the end. So far looks like somethis I did wrong:Result received in ~ 6.5 minutesResult received in ~ 4.5 minutesWhat am I doing wrong? This are the time to spent by CPU.Could you share you results for #50?Just when power is set 12 for bit 50, it turns out Hop_module 41 is 1 long jump 2 ^ 41 - it's too far and the range of selected points goes far from bit 50. Accordingly, the search time will be much longer. Also, when a large power - DP parity / DPmodule becomes less than 18, which leads to a large amount of data received from the video card and errors occur, wild and tame files grow quickly. Accordingly, it also affects negatively. The optimum size of the DPmodule is 22 - 24 of these values ​​should be selected power. And if DPmodule is large, then fewer selected points will be saved in files and search time will increase. Therefore, it is installed no more than 24.+ the comparator starts the comparison once every half a minute. Therefore, such a total time.All noted. Thanks. Will continue testing.Those two results that I gave a screenshots were both with p=0. But the one with lesser time was tested with rekey=5000.","April 05, 2020, 02:11:11 PM",Firebox,59,3
342,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795," As I understand it, you can’t leave links to other resources here? I saw a channel on Patreone called Bitcoin Riches, where they talk about a script that you can solve a puzzle. Can anyone tell me about this?","April 05, 2020, 05:50:44 PM",Texgen,9,0
343,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,Please how can I solve that problem ?  Code:[###########################################################][#          Pollard-kangaroo PrivKey Recovery Tool         #][#          (based on engine of VanitySearch 1.15)         #][#                 bitcoin ecdsa secp256k1                 #][#                 ver 0.01 GPU Hybrid v4F                 #][#          GPU implementation changes by alek76           #][#          Tips: 1NULY7DhzuNvSDtPkFzNo6oRTZQWBqXNE9       #][###########################################################][DATE(utc)] 05 Apr 2020 22:22:00[~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~][pow2bits]	65[Wsqrt] (2^32)                                                        100000000[M]                                                18000000000000000[rangeW]	2^64..2^65 ; W = U - L = 2^64[DPsize]	1048576 (hashtable size)[~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~][pubkey#65] loaded[Xcoordinate] 30210C23B1A047BC9BDBB13448E67DEDDC108946DE6DE639BCC75D47C0216B1B[Ycoordinate] E383C4A8ED4FAC77C0D2AD737D8499A362F483F8FE39D1E86AAED578A9455DFC[~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~][+] Sp-table of pow2 points - ready [~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~][UV] U*V=0*0=0 (0x00)[optimal_mean_jumpsize] 0 [meanjumpsize#1] 1(now) <= 0(optimal) <= 1(next)[i] Sp[0]|J-|Sp[1][i] this Sp set has low efficiency (over -25%) for this mean jumpsize[JmaxofSp] Sp[1]=0 nearer to optimal mean jumpsize of Sp set[i] Old DPmodule: 2^30 [i] New DPmodule: 2^24 [DPmodule] 2^24 = 16777216 (0x0000000001000000) [+] 0T+0W kangaroos - ready[CPU] threads: 0 [GPU] threads: 1 Hang on to your hats... ;-)[optimal_mean_jumpsize] 80000000 [meanjumpsize#36] 71C71C71(now) <= 80000000(optimal) <= DD67C8A6(next)[i] Sp[36]|-------J----------------------------------------------------|Sp[37][JmaxofSp] Sp[36]=71C71C71 nearer to optimal mean jumpsize of Sp setGPUEngine: DPmodule: 0x400000 2^22 ((pow2W-(2*Power))/2)-2 Hop_modulo: 44 Power: 8 GPU: GPU #0 Tesla P4 (20x128 cores) Grid(160x128)GPU Bits: 65 GPU Tame Points: [M] + Rand(pow2W-0) GPU Tame Starting Key 0: 18000000000000000 GPU Tame Starting Key 1: 206BBC3513D1733A1 GPU Tame Starting Key 2: 25E5235429CA09EF3 GPU Tame Starting Key 3: 2583FB778385DFCD4 GPU Tame Starting Key 4: 1ED1A56D0C06ACCCE GPU Tame Starting Key 5: 189D65AB36B1D055D GPU Tame Starting Key 6: 1FA2EABEE40E79BBD GPU Tame Starting Key 7: 197A3A27B31F5B3D2 GPU Tame Starting Key 8: 206650FB29F02B360 GPU Tame Starting Key 9: 1EE2B45C9529E6C93 GPU Tame Starting Key 20479: 233950B74491CF338 Thread: 20480 GPU Wild Points: [Target] + Rand(pow2W-1) GPU Wild Starting Key 0: 54D8F8548F7AB6F2 GPU Wild Starting Key 1: 120CEF3BC316421C GPU Wild Starting Key 2: 7D4E0E90EF29A037 GPU Wild Starting Key 3: 57CFAF613008D1A9 GPU Wild Starting Key 4: 31B859A6B2E3D9D9 GPU Wild Starting Key 5: 6E628C3C53724423 GPU Wild Starting Key 6: 56164090D10C621F GPU Wild Starting Key 7: 1414DCD8273FD23E GPU Wild Starting Key 8: 4012C93B385FECD4 GPU Wild Starting Key 9: 3213AB3E8E022B15 GPU Wild Starting Key 20479: 1C6C36C06F3EF445 Thread: 20480 GPUEngine: Kernel: no kernel image is available for execution on the device[i] Used Comparator in C++[i][+] Runing Comparator every: 32 sec   0.0  j/s;   0.0 j of   8.0Gj   0.0%; DP 0T+0W=0+0=0; dp/kgr=0.0;[runtime]   0: 0: 1 [~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~][DATE(utc)] 05 Apr 2020 22:22:01[~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~][x] EXIT[i] Comparator time: 2.836 msec wild.txt 0 bytes tame.txt 0 bytes seems like here is the error :GPUEngine: Kernel: no kernel image is available for execution on the device,"April 05, 2020, 10:23:37 PM",bounty0z,142,70
